date,sales,stockout_flag,on_promo,temp_f,precip_in,snow_flag,extreme_cold,extreme_heat,is_holiday,is_weekend,week_of_year,sales_lag_1,sales_lag_7,sales_roll_7,sales_roll_28,days_to_holiday,store_Store_2,store_Store_3,category_Beverages,category_Cleaning Supplies,category_Cold Weather Apparel,category_Frozen Foods,category_Produce,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,holiday_type_national,holiday_type_promotional,weather_bucket_Extreme cold,weather_bucket_Extreme heat,weather_bucket_Rain,weather_bucket_Snow
2019-01-29,321.76654778097765,0,1,-1.3144642586530009,-0.28292914667409635,0,0,0,0,0,-1.4411609286542195,-0.2532742003723177,0.3191413357545696,0.09947579993155789,-0.05809606962222622,-0.5209205821076901,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019-01-30,217.0,0,0,-2.1687939130618488,-0.36775326156252125,0,1,0,0,0,-1.4411609286542195,0.5590159439135468,0.03348784473267496,0.13595808811797772,-0.029033793083719832,-0.570759947682412,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2019-01-31,305.34617869946396,0,1,-1.073365092378111,1.7528496106481006,0,0,0,0,0,-1.4411609286542195,-0.15752281050306094,0.040646397709856695,0.10675709326795862,-0.027197174178057042,-0.6205993132571339,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019-02-01,198.0,0,0,-1.13101924083515,-0.36775326156252125,0,0,0,0,0,-1.4411609286542195,0.4467107180763249,-0.11691106349502492,0.1685996300511426,-0.001131307034515784,-0.6704386788318557,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-02,299.0,0,0,-1.7809387325326784,-0.36775326156252125,0,0,0,0,1,-1.4411609286542195,-0.2874711253256237,0.26592252108457476,0.1425273132207687,-0.0008689329051352365,-0.7202780444065776,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-03,358.5208341570576,0,1,-0.4810997491376216,-0.36775326156252125,0,0,0,0,1,-1.4411609286542195,0.4033067587311573,0.36163091722947466,0.16338516668506772,-0.0042797965870804726,-0.7701174099812994,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-04,225.0,0,0,-1.7861800187560457,-0.36775326156252125,0,0,0,0,0,-1.3724806031480419,0.8103926584965714,-0.2536373437020248,0.23171636457039568,0.020520024983186374,-0.8199567755560213,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-05,263.0,0,0,-1.9696250365738965,-0.36775326156252125,0,1,0,0,0,-1.3724806031480419,-0.10280773057777136,0.5582880708539747,0.254660003381125,0.026554629958935413,-0.8697961411307432,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2019-02-06,242.0,0,0,-2.016796612584201,-0.36775326156252125,0,1,0,0,0,-1.3724806031480419,0.15708889906735415,-0.1579289475571249,0.1933728012702062,0.04229707772175928,-0.919635506705465,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2019-02-07,0.0,1,0,-1.2358449653024932,1.3287290362059763,1,0,0,0,0,-1.3724806031480419,0.013461814263468999,0.4460332716469048,0.21944511810058054,0.05043067573255165,-0.9694748722801869,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019-02-08,218.0,0,0,-1.099571523494947,0.22601554265645293,0,0,0,0,0,-1.3724806031480419,-1.6416693534765407,-0.2878189137537748,-0.09899817445927658,-0.0012570277553867382,-1.0193142378549087,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019-02-09,264.0,0,0,-1.0471586612612753,2.516266644643925,0,0,0,0,1,-1.3724806031480419,-0.15068342551239974,0.40264880129157465,-0.07814032099497735,0.0008419652796563879,-1.0691536034296305,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019-02-10,275.0,0,0,-1.3616358346633053,-0.36775326156252125,0,0,0,0,1,-1.3724806031480419,0.16392828405801535,0.809551913747186,-0.11464156455750096,-0.0033560207904298643,-1.1189929690043525,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-11,291.6947372449808,0,1,-1.5503221387045232,-0.36775326156252125,0,0,0,0,0,-1.3038002776418642,0.23916151895528853,-0.10323843547432493,-0.2017448305606983,0.0016290876677976123,-1.1688323345790743,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-12,207.0,0,0,-0.8427484985499559,-0.36775326156252125,0,0,0,0,0,-1.3038002776418642,0.3533432542916426,0.15654149691897484,-0.13218937774591072,0.023850795615551257,-1.2186717001537961,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-13,209.0,0,0,-1.5660459973746246,-0.36775326156252125,0,0,0,0,0,-1.3038002776418642,-0.22591666040967293,0.012978902701624974,-0.1905913674459485,0.028835904073778732,-1.2685110657285181,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-14,219.0,0,0,-1.6813542942887023,-0.36775326156252125,0,0,0,1,0,-1.3038002776418642,-0.21223789042835053,-1.6414090878030736,-0.22500682566204228,0.037231876213951444,-1.31835043130324,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2019-02-15,204.0,0,0,-0.5754429011582304,0.056367312879603164,0,0,0,0,0,-1.3038002776418642,-0.14384404052173855,-0.15109263354677488,0.003386669772034028,0.03959324337837512,-1.2685110657285181,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019-02-16,279.0,0,0,-1.0786063786014783,2.940387219086049,0,0,0,0,1,-1.3038002776418642,-0.2464348153816565,0.16337781092932485,-0.01121382765297542,0.03618237969642989,-1.2186717001537961,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019-02-17,300.0,0,0,-0.9423329367939319,-0.36775326156252125,0,0,0,0,1,-1.3038002776418642,0.2665190589179333,0.23857726504317478,0.004429562445249166,0.031722019496963086,-1.1688323345790743,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-18,208.0,0,0,-0.8637136434434245,-0.36775326156252125,0,0,0,0,0,-1.2351199521356866,0.41014614372181846,0.3527077311701488,0.03050187927562306,0.03250914188510431,-1.1189929690043525,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019-02-19,211.0,0,0,-1.356394548439938,-0.36775326156252125,0,0,0,0,0,-1.2351199521356866,-0.21907727541901173,-0.22629208766062484,-0.056782748983818764,0.04064273989589668,-1.0691536034296305,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
